report_id,days_policy_to_claim,claim_amount,sum_insured,claim_count_1y,was_investigated,policy_count,label,manual_decision,decision_time,feedback_label,risk_score,risk_level
R68,15,15952.046205797067,50000,2,0,3,1,,,,0.9167143,🔴 高风险
R69,866,31328.04697174808,50000,2,0,2,1,,,,0.44497225,🟢 低风险
R70,295,35973.97293221623,100000,0,0,3,0,,,,0.2698569,🟢 低风险
R71,44,26446.89803284233,50000,2,0,2,1,,,,0.67919517,🟠 中风险
R72,1,13452.302243760509,50000,1,0,3,0,,,,0.3718082,🟢 低风险
R73,337,14893.915007024209,200000,1,0,3,1,,,,0.57049006,🟠 中风险
R74,245,20799.152637400373,200000,1,0,1,0,,,,0.5445596,🟠 中风险
R75,261,23209.300619256574,100000,1,0,2,0,,,,0.5384434,🟠 中风险
R76,295,10121.34089860228,500000,2,0,2,1,,,,0.5263641,🟠 中风险
R77,15,27230.37939579864,100000,2,0,2,1,,,,0.9644368,🔴 高风险
R78,88,20855.13329639599,50000,1,0,3,1,,,,0.4901127,🟢 低风险
R79,24,2842.9168136187072,50000,0,0,1,1,,,,0.94608176,🔴 高风险
R80,397,10710.735175392696,500000,2,0,4,1,,,,0.69106877,🟠 中风险
R81,195,14958.713263483363,500000,0,0,3,1,,,,0.6401075,🟠 中风险
R82,80,19271.42311158945,200000,2,0,4,1,,,,0.49789095,🟢 低风险
R83,13,38892.78795503996,50000,1,0,3,1,,,,0.9795192,🔴 高风险
R84,74,22381.713061396284,50000,0,0,3,1,,,,0.7711111,🟠 中风险
R85,78,11592.28110101375,50000,1,0,2,1,,,,0.74832404,🟠 中风险
R86,261,22206.30804307164,50000,0,0,3,1,,,,0.6036512,🟠 中风险
R87,202,16479.12252546119,50000,1,0,3,0,,,,0.37382248,🟢 低风险
R88,436,23247.58239533542,50000,1,0,1,1,,,,0.55074275,🟠 中风险
R89,127,25805.676870356147,50000,1,0,2,0,,,,0.41703707,🟢 低风险
R90,25,32092.306472239383,50000,1,0,1,1,,,,0.944005,🔴 高风险
R91,249,19757.135043299742,200000,0,0,4,1,,,,0.5452552,🟠 中风险
R92,286,36389.60527599833,100000,0,1,2,1,,,,0.49204376,🟢 低风险
R93,164,29080.22662536192,50000,1,0,1,0,,,,0.55950123,🟠 中风险
R94,294,12925.60455187812,200000,1,0,2,0,,,,0.51956666,🟠 中风险
R95,136,42098.556657484645,50000,2,0,2,0,,,,0.118169405,🟢 低风险
R96,147,23269.945132700977,500000,3,0,4,1,,,,0.96691805,🔴 高风险
R97,111,11648.754960277647,50000,2,0,3,0,,,,0.7155076,🟠 中风险
R98,5,36529.13051230422,100000,0,0,4,1,,,,0.9921997,🔴 高风险
R99,22,40777.77585198445,200000,2,1,1,1,,,,0.9971771,🔴 高风险
R100,6,19669.747362804395,500000,1,0,2,1,,,,0.93895143,🔴 高风险
R101,202,14963.497396244036,500000,0,0,3,1,,,,0.61580616,🟠 中风险
R102,75,18276.250425463382,50000,1,0,1,0,,,,0.3345582,🟢 低风险
R103,142,27147.317275177,100000,2,0,4,0,,,,0.41098756,🟢 低风险
R104,476,32778.56655030514,100000,0,0,2,1,,,,0.6220875,🟠 中风险
R105,57,25704.87330863573,50000,1,0,4,0,,,,0.37260637,🟢 低风险
R106,105,21017.232084717696,50000,1,0,2,0,,,,0.4869026,🟢 低风险
R107,281,34980.11770304428,200000,0,0,2,0,,,,0.322951,🟢 低风险
R108,51,16871.635269484777,200000,1,0,3,1,,,,0.4983915,🟢 低风险
R109,16,30309.19338366908,50000,0,0,4,1,,,,0.9711962,🔴 高风险
R110,68,17119.372016487214,50000,0,0,1,0,,,,0.3778382,🟢 低风险
R111,35,24310.22958010893,500000,1,0,2,1,,,,0.33460417,🟢 低风险
R112,530,18864.374352095485,100000,2,0,2,0,,,,0.3665338,🟢 低风险
R113,330,19441.478173471893,200000,1,0,1,0,,,,0.38761717,🟢 低风险
R114,200,16226.134825377902,50000,1,0,1,0,,,,0.38004676,🟢 低风险
R115,410,33448.540311806944,50000,0,0,1,1,,,,0.8070096,🔴 高风险
R116,325,12670.73961891465,200000,0,0,1,1,,,,0.36708033,🟢 低风险
R117,41,12597.677474512917,500000,4,0,4,1,,,,0.9527556,🔴 高风险
R118,446,41209.9356584511,500000,1,0,2,0,,,,0.50672245,🟠 中风险
R119,155,29778.47564654332,50000,1,1,3,1,,,,0.68250495,🟠 中风险
R120,329,1000.0,100000,2,0,1,1,,,,0.22379026,🟢 低风险
R121,452,14347.412607895963,100000,2,0,3,0,,,,0.37687182,🟢 低风险
R122,76,1880.10662437946,50000,0,0,3,1,,,,0.61481905,🟠 中风险
R123,23,10493.093065847448,200000,0,1,3,1,,,,0.9864624,🔴 高风险
R124,51,1000.0,100000,0,1,4,0,,,,0.66576415,🟠 中风险
R125,111,18630.10422306057,200000,3,0,1,1,,,,0.9009804,🔴 高风险
R126,340,8580.581808386885,200000,0,0,3,1,,,,0.506268,🟠 中风险
R127,394,20599.052567964383,200000,1,0,3,1,,,,0.6615337,🟠 中风险
R128,1,3748.787411174752,500000,2,0,2,0,,,,0.22361049,🟢 低风险
R129,142,20829.1185317204,100000,1,0,1,1,,,,0.43225542,🟢 低风险
R130,108,15850.837218796729,500000,1,0,4,0,,,,0.54063153,🟠 中风险
R131,50,35019.529651885954,100000,2,0,1,0,,,,0.27754346,🟢 低风险
R132,25,34113.56861745625,50000,0,0,1,1,,,,0.9540111,🔴 高风险
R133,82,27853.45603010283,200000,0,0,1,1,,,,0.5366141,🟠 中风险
R134,572,16733.862193387875,100000,0,0,1,0,,,,0.441891,🟢 低风险
R135,78,39853.80395260293,100000,1,0,2,1,,,,0.5914297,🟠 中风险
R136,146,4469.647221601794,50000,1,0,3,1,,,,0.7484576,🟠 中风险
R137,242,5964.413704363375,500000,2,0,2,0,,,,0.18657821,🟢 低风险
R138,90,19162.169001109352,100000,2,0,4,1,,,,0.51176983,🟠 中风险
R139,713,42540.3810892112,100000,1,0,3,1,,,,0.89405876,🔴 高风险
R140,656,17976.610931299125,500000,0,0,1,0,,,,0.38312018,🟢 低风险
R141,58,18167.547567907182,500000,1,0,2,0,,,,0.41569117,🟢 低风险
R142,137,5580.896438881908,100000,1,0,1,1,,,,0.6786516,🟠 中风险
R143,71,29459.295852703784,500000,0,0,1,1,,,,0.30355802,🟢 低风险
R144,67,29531.76254329354,50000,1,1,4,0,,,,0.39149365,🟢 低风险
R145,7,27890.7520139991,50000,1,0,3,1,,,,0.8903109,🔴 高风险
R146,188,13707.793271526376,200000,3,0,4,1,,,,0.9815419,🔴 高风险
R147,139,12932.932316269944,100000,1,0,4,1,,,,0.47034064,🟢 低风险
R148,10,7068.777495950295,50000,0,0,3,0,,,,0.8028479,🔴 高风险
R149,65,20838.725017609337,50000,0,0,4,1,,,,0.59948075,🟠 中风险
R150,477,9195.926707214983,50000,1,0,3,0,,,,0.36254436,🟢 低风险
R151,54,8225.834947507114,200000,1,0,4,1,,,,0.5169054,🟠 中风险
R152,31,15763.092830893242,500000,1,0,2,1,,,,0.7224074,🟠 中风险
R153,134,15108.43824815784,200000,1,0,3,1,,,,0.5742326,🟠 中风险
R154,848,14620.214711780449,200000,3,0,1,1,,,,0.8342423,🔴 高风险
R155,55,24664.44596840261,200000,0,1,4,1,,,,0.93556166,🔴 高风险
R156,223,20790.4780215028,200000,1,1,4,1,,,,0.7521632,🟠 中风险
R157,286,17118.439694888824,100000,0,0,3,0,,,,0.44744694,🟢 低风险
R158,54,21830.12928311482,100000,1,0,4,0,,,,0.59123677,🟠 中风险
R159,260,10084.729588953678,50000,0,0,4,1,,,,0.5808124,🟠 中风险
R160,91,21052.78623909678,200000,1,0,3,0,,,,0.46693778,🟢 低风险
R161,200,21506.02492844634,200000,0,1,3,0,,,,0.8032858,🔴 高风险
R162,200,4969.531406425194,50000,1,0,4,1,,,,0.6200374,🟠 中风险
R163,153,29956.93754370362,500000,1,1,3,0,,,,0.5814381,🟠 中风险
R164,18,11185.662947730045,100000,1,0,4,1,,,,0.7778028,🟠 中风险
R165,360,20903.09799206435,200000,1,0,4,0,,,,0.46511832,🟢 低风险
R166,77,31644.117405352703,500000,0,0,4,0,,,,0.3463009,🟢 低风险
R167,41,29256.767577138693,500000,1,0,1,1,,,,0.72008467,🟠 中风险
R168,8,20343.33388568836,200000,2,0,3,1,,,,0.9286693,🔴 高风险
R169,178,16375.009971179315,200000,1,0,1,0,,,,0.4122898,🟢 低风险
R170,226,29475.119085755672,500000,3,0,2,1,,,,0.9248481,🔴 高风险
R171,3,26746.9497780862,100000,2,0,2,1,,,,0.9881342,🔴 高风险
R172,143,13816.3497995587,100000,1,1,4,1,,,,0.9278157,🔴 高风险
R173,51,12051.063529983096,200000,0,0,1,0,,,,0.58267003,🟠 中风险
R174,207,1000.0,200000,1,0,4,0,,,,0.42701018,🟢 低风险
R175,38,21540.318416835875,50000,1,0,4,1,,,,0.31014106,🟢 低风险
R176,234,19173.02254981601,50000,0,1,4,1,,,,0.81245905,🔴 高风险
R177,97,31361.913746425424,100000,2,1,4,1,,,,0.81822085,🔴 高风险
R178,552,23590.550934803665,50000,0,0,4,0,,,,0.19891113,🟢 低风险
R179,29,33342.2919417269,500000,1,0,2,1,,,,0.9386423,🔴 高风险
R180,83,13026.357720838292,500000,0,0,3,0,,,,0.4563284,🟢 低风险
R181,24,31381.503309676184,500000,0,0,3,1,,,,0.97913796,🔴 高风险
R182,517,14710.83620895345,500000,0,1,3,0,,,,0.7530741,🟠 中风险
R183,419,27775.96061792272,200000,1,0,2,0,,,,0.52882284,🟠 中风险
R184,59,5412.416074693065,500000,0,1,1,1,,,,0.93543124,🔴 高风险
R185,215,22351.352993661887,100000,1,0,2,1,,,,0.511101,🟠 中风险
R186,339,1000.0,50000,2,0,2,0,,,,0.4929549,🟢 低风险
R187,162,17328.62514058245,100000,1,0,1,0,,,,0.21862933,🟢 低风险
R188,150,24403.539938779137,200000,1,0,4,0,,,,0.36204466,🟢 低风险
R189,55,14790.314487689044,50000,1,1,4,0,,,,0.7687246,🟠 中风险
R190,19,9495.623712440329,50000,0,0,4,1,,,,0.81114,🔴 高风险
R191,455,28461.184692959338,50000,0,0,1,0,,,,0.22814463,🟢 低风险
R192,461,18965.372101530767,500000,1,0,2,1,,,,0.5616993,🟠 中风险
R193,200,15104.293529693285,200000,0,0,2,1,,,,0.5953665,🟠 中风险
R194,82,20418.95921154277,100000,2,0,1,0,,,,0.49111363,🟢 低风险
R195,85,46366.691419455885,500000,0,0,4,1,,,,0.7064475,🟠 中风险
R196,258,31535.02849781544,50000,1,0,1,1,,,,0.54736453,🟠 中风险
R197,454,31625.736681878403,100000,3,0,2,1,,,,0.8727783,🔴 高风险
R198,436,24355.46318992364,100000,0,0,3,0,,,,0.3151606,🟢 低风险
R199,302,21664.85272577147,100000,0,0,3,1,,,,0.5110173,🟠 中风险
R200,205,1000.0,200000,2,0,3,0,,,,0.546486,🟠 中风险
R201,17,13210.19653536868,500000,2,0,4,0,,,,0.8207085,🔴 高风险
R202,35,15194.255867975256,200000,0,0,4,0,,,,0.5754826,🟠 中风险
R203,457,1251.0793595246687,50000,0,0,4,0,,,,0.84888244,🔴 高风险
R204,186,8425.842097845663,50000,2,0,4,0,,,,0.30988774,🟢 低风险
R205,1,1000.0,100000,0,1,1,1,,,,0.97124726,🔴 高风险
R206,21,19616.761643026275,100000,0,0,3,1,,,,0.8573937,🔴 高风险
R207,217,28187.65970848816,100000,1,1,3,1,,,,0.83811414,🔴 高风险
R208,1,31067.745186243286,200000,1,0,4,0,,,,0.6358979,🟠 中风险
R209,35,24147.844620792413,500000,1,0,4,1,,,,0.52853143,🟠 中风险
R210,159,10366.03658801431,200000,2,0,1,0,,,,0.5732665,🟠 中风险
R211,235,1000.0,50000,1,0,1,1,,,,0.79877615,🟠 中风险
R212,211,2431.313005984979,100000,1,0,1,1,,,,0.6283389,🟠 中风险
R213,50,7310.174227455016,100000,2,0,3,0,,,,0.21427853,🟢 低风险
R214,249,11111.403019643254,200000,1,0,3,0,,,,0.40374315,🟢 低风险
R215,54,18402.51502008413,50000,1,0,3,1,,,,0.57904744,🟠 中风险
R216,78,9858.357818730316,500000,1,0,3,1,,,,0.4551167,🟢 低风险
R217,274,23389.75893668261,100000,0,0,1,0,,,,0.45265588,🟢 低风险
R218,209,17677.264972005272,100000,0,0,4,0,,,,0.45827824,🟢 低风险
R219,378,20105.457117410257,50000,1,0,3,1,,,,0.4642058,🟢 低风险
R220,214,31402.505526712048,100000,0,0,1,0,,,,0.50269854,🟠 中风险
R221,168,8197.6826579963,500000,0,0,4,1,,,,0.5339711,🟠 中风险
R222,19,24187.045782923684,200000,0,0,2,1,,,,0.980732,🔴 高风险
R223,91,19860.267715239268,50000,0,0,4,1,,,,0.53111863,🟠 中风险
R224,61,16665.13719030305,100000,1,0,2,1,,,,0.6665533,🟠 中风险
R225,55,28852.5632086596,100000,1,0,2,0,,,,0.41867545,🟢 低风险
R226,722,28790.14154557008,500000,1,0,3,0,,,,0.35996133,🟢 低风险
R227,99,10535.092040115718,200000,0,1,1,1,,,,0.75574666,🟠 中风险
R228,445,18178.39416142076,500000,1,0,4,1,,,,0.59116775,🟠 中风险
R229,199,22812.11682584065,200000,0,1,2,1,,,,0.82902354,🔴 高风险
R230,316,17269.932519774156,500000,1,0,1,0,,,,0.2549137,🟢 低风险
R231,139,25850.213322877986,200000,1,0,4,0,,,,0.4408702,🟢 低风险
R232,172,22811.920179102755,100000,0,0,3,0,,,,0.45092764,🟢 低风险
R233,135,38325.61240356013,100000,0,0,4,1,,,,0.39697805,🟢 低风险
R234,43,4697.208640702123,100000,1,0,3,0,,,,0.4789536,🟢 低风险
R235,256,18775.640102526024,50000,0,0,4,0,,,,0.32355303,🟢 低风险
R236,65,10914.97488487809,200000,1,0,4,0,,,,0.43361005,🟢 低风险
R237,4,26041.07455439044,50000,1,0,2,1,,,,0.9828545,🔴 高风险
R238,207,3828.2810995445534,200000,1,0,2,0,,,,0.36553127,🟢 低风险
R239,38,23463.127102248865,100000,1,1,2,1,,,,0.8596464,🔴 高风险
R240,564,13699.515686516588,50000,1,0,3,1,,,,0.5546613,🟠 中风险
R241,615,12658.38133878986,50000,2,0,4,1,,,,0.58459246,🟠 中风险
R242,492,5535.017964593128,500000,1,0,4,0,,,,0.29301834,🟢 低风险
R243,92,15349.24053798994,200000,0,0,3,0,,,,0.56425065,🟠 中风险
R244,3,30845.005302909256,500000,0,0,4,1,,,,0.92838824,🔴 高风险
R245,527,19748.11316470521,50000,2,0,2,1,,,,0.41598487,🟢 低风险
R246,111,26276.804178744744,50000,0,0,3,0,,,,0.37123457,🟢 低风险
R247,680,36646.41821966275,100000,0,0,3,1,,,,0.76713747,🟠 中风险
R248,662,22637.55584822576,500000,1,0,4,0,,,,0.3165215,🟢 低风险
R249,383,14412.004279376592,500000,1,0,2,0,,,,0.26084134,🟢 低风险
R250,69,24672.5221518279,500000,0,0,4,1,,,,0.7307106,🟠 中风险
R251,97,14557.03853685708,200000,0,0,4,0,,,,0.39222875,🟢 低风险
R252,380,14955.773167028306,50000,1,0,3,0,,,,0.29708007,🟢 低风险
R253,76,4801.072003810152,500000,1,0,3,0,,,,0.39952883,🟢 低风险
R254,37,29262.574910843923,100000,1,0,1,1,,,,0.73775876,🟠 中风险
R255,162,16139.974243505609,50000,2,0,4,1,,,,0.5851036,🟠 中风险
R256,550,21820.98245815862,100000,0,0,1,0,,,,0.41119564,🟢 低风险
R257,238,9640.380713933606,50000,1,0,4,1,,,,0.68273324,🟠 中风险
R258,168,24359.476297154724,100000,1,0,1,0,,,,0.33182257,🟢 低风险
R259,20,12380.587618649162,500000,1,1,4,1,,,,0.9871681,🔴 高风险
R260,190,18582.91278298176,500000,0,0,3,1,,,,0.4885042,🟢 低风险
R261,922,28778.260312391256,100000,1,0,3,0,,,,0.33846217,🟢 低风险
R262,30,27907.59312232529,200000,0,0,1,1,,,,0.80499434,🔴 高风险
R263,146,19779.6992748306,100000,0,0,1,1,,,,0.52656645,🟠 中风险
R264,419,2318.689672932818,50000,1,0,1,1,,,,0.78032726,🟠 中风险
R265,270,49928.105700606415,100000,2,0,2,0,,,,0.36884382,🟢 低风险
R266,238,37458.58970273136,100000,1,0,1,1,,,,0.65480137,🟠 中风险
R267,242,27226.748248882985,50000,1,0,1,1,,,,0.73997545,🟠 中风险
R268,89,12467.962184090293,500000,2,0,1,0,,,,0.30579728,🟢 低风险
R269,69,18864.078382980355,50000,0,0,2,0,,,,0.2860212,🟢 低风险
R270,331,14565.795702234833,100000,0,0,2,1,,,,0.5110103,🟠 中风险
R271,332,32638.559390963885,50000,1,0,4,1,,,,0.6521404,🟠 中风险
R272,403,22625.02890851834,100000,0,0,3,0,,,,0.51393473,🟠 中风险
R273,488,12158.361416401673,500000,2,0,1,0,,,,0.1827968,🟢 低风险
R274,143,15292.44900875218,100000,0,0,1,0,,,,0.484044,🟢 低风险
R275,139,31211.881425699044,100000,2,0,3,0,,,,0.34913954,🟢 低风险
R276,320,36000.97846820478,500000,0,0,4,1,,,,0.71699387,🟠 中风险
R277,209,35283.315634862454,50000,2,0,4,0,,,,0.22311904,🟢 低风险
R278,242,27570.320650539776,200000,1,0,1,1,,,,0.62575495,🟠 中风险
R279,317,17473.751311973632,200000,1,0,3,0,,,,0.24932072,🟢 低风险
R280,441,1000.0,100000,1,0,1,1,,,,0.82613707,🔴 高风险
R281,82,22971.600238082217,100000,1,0,1,1,,,,0.47761542,🟢 低风险
R282,94,19981.712411559,500000,3,0,1,1,,,,0.92745185,🔴 高风险
R283,19,21399.820963213537,50000,0,0,3,1,,,,0.9447819,🔴 高风险
R284,172,20538.973470332065,200000,3,0,3,1,,,,0.94935906,🔴 高风险
R285,7,6737.3783805084295,200000,0,0,4,1,,,,0.9242544,🔴 高风险
R286,125,25574.08556851185,500000,0,0,3,1,,,,0.55451894,🟠 中风险
R287,156,26322.163140318506,500000,3,0,3,1,,,,0.9342972,🔴 高风险
R288,67,26823.387820596592,200000,0,0,3,1,,,,0.5445253,🟠 中风险
R289,178,29465.770035733865,50000,1,0,2,0,,,,0.23584318,🟢 低风险
R290,6,26040.51644921624,50000,1,0,4,1,,,,0.883319,🔴 高风险
R291,7,15899.705884610892,50000,1,1,3,1,,,,0.965656,🔴 高风险
R292,345,19291.6315208391,100000,1,0,1,1,,,,0.60299045,🟠 中风险
R293,89,20911.24867253377,50000,2,1,2,1,,,,0.95841384,🔴 高风险
R294,27,21076.994491066183,100000,0,1,2,1,,,,0.9867508,🔴 高风险
R295,147,29982.1765597173,100000,1,0,4,1,,,,0.3651131,🟢 低风险
R296,293,26436.68753022491,500000,0,0,2,0,,,,0.52395695,🟠 中风险
R297,48,40773.43439569953,100000,2,0,2,0,,,,0.4178555,🟢 低风险
R298,195,42064.68979884672,100000,0,0,4,1,,,,0.7870229,🟠 中风险
R299,17,20796.49582613925,500000,1,0,3,0,,,,0.8405477,🔴 高风险
R300,10,1000.0,50000,0,0,4,1,,,,0.9128537,🔴 高风险
R301,151,32368.324661272665,50000,0,0,1,0,,,,0.19056909,🟢 低风险
R302,155,14596.236610129456,200000,0,0,3,1,,,,0.6498803,🟠 中风险
R303,202,11985.160781689932,200000,2,0,3,0,,,,0.23656788,🟢 低风险
R304,258,16015.547250106332,100000,1,0,2,1,,,,0.54702497,🟠 中风险
R305,744,15533.569531853936,200000,0,0,3,1,,,,0.8382175,🔴 高风险
R306,145,26122.698101053924,500000,1,0,2,1,,,,0.590384,🟠 中风险
R307,78,4405.642208737745,200000,1,0,3,1,,,,0.53994435,🟠 中风险
R308,317,9222.792542083984,200000,1,0,4,1,,,,0.6242204,🟠 中风险
R309,63,23431.585541974167,100000,0,0,2,1,,,,0.5042805,🟠 中风险
R310,115,26229.44030413308,500000,0,0,4,0,,,,0.5339155,🟠 中风险
R311,16,26415.41644936012,200000,0,0,2,1,,,,0.94794106,🔴 高风险
R312,5,12129.63721066701,50000,0,0,2,1,,,,0.9524927,🔴 高风险
R313,657,10217.3435073376,500000,0,0,2,0,,,,0.40047404,🟢 低风险
R314,361,14933.651662120808,500000,5,0,3,1,,,,0.93392605,🔴 高风险
R315,238,22398.72752284725,100000,2,0,3,0,,,,0.51730263,🟠 中风险
R316,105,34854.773692725495,500000,0,1,4,0,,,,0.53462905,🟠 中风险
R317,38,1000.0,500000,1,0,1,0,,,,0.6419119,🟠 中风险
R318,34,17792.712430416334,500000,0,0,4,1,,,,0.5187806,🟠 中风险
R319,57,6673.215589747962,500000,0,1,1,0,,,,0.7028657,🟠 中风险
R320,159,3477.573226465101,500000,0,1,2,1,,,,0.9039567,🔴 高风险
R321,250,29669.56645344817,500000,0,0,1,0,,,,0.4150549,🟢 低风险
R322,215,25446.245744993383,500000,1,0,1,0,,,,0.554647,🟠 中风险
R323,65,24494.335159472623,50000,0,0,2,1,,,,0.5259386,🟠 中风险
R324,619,29210.25839730993,500000,0,0,4,1,,,,0.7683669,🟠 中风险
R325,267,15202.81103233864,100000,2,0,2,1,,,,0.5299179,🟠 中风险
R326,161,15673.624836664718,50000,0,0,2,1,,,,0.37385798,🟢 低风险
R327,189,41857.30616722575,500000,1,0,1,0,,,,0.44157007,🟢 低风险
R328,108,17534.28945740426,200000,0,0,2,1,,,,0.32610637,🟢 低风险
R329,56,27351.32113054092,100000,0,0,4,1,,,,0.45151433,🟢 低风险
R330,88,20063.81540963315,50000,1,0,1,0,,,,0.4697025,🟢 低风险
R331,283,1517.4146992158494,100000,1,0,4,0,,,,0.43511197,🟢 低风险
R332,2,1000.0,50000,0,0,2,1,,,,0.9120476,🔴 高风险
R333,24,14210.157800600951,200000,2,0,4,1,,,,0.8502336,🔴 高风险
R334,9,30561.01251669989,100000,2,0,4,1,,,,0.94740295,🔴 高风险
R335,8,27882.91656636004,100000,1,0,2,1,,,,0.9426526,🔴 高风险
R336,386,29140.77164224033,50000,0,0,3,1,,,,0.6159812,🟠 中风险
R337,243,10129.538210636849,50000,0,0,4,1,,,,0.70541227,🟠 中风险
R338,128,36158.72490122313,200000,2,0,3,0,,,,0.44320658,🟢 低风险
